original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
marche hongroise, 1844, piano, e? minor, pf, renumbered as s.233b

ländler, 1879, piano, , pf, renumbered as s.211a

air cosaque, 1879, piano, , pf, renumbered as s.249c

kerepsi csárdás,  ?, piano, , pf, lost; liszt's authorship doubtful

morceaux en style de danse ancien hongrois (3), 1850, piano, , pf, manuscript lost; liszt's authorshop doubtful

grosse konzertfantasie über spanische weisen, 1844, piano, , pf, "rediscovered
corolian overture, 1846–47, "piano,  arr.", , pf
egmont overture, 1846–47, "piano,  arr.", , pf
le carnaval romain, 1844–49?, "piano,  arr.", , pf
duettino de la favorite, 1847, "piano,  arr.", , pf
chœur des soldats de faust, 1864, "piano,  arr.", , pf
fantaisie sur des thèmes de l'opéra guitarero, 1841, "piano,  arr.", , pf
dom sebastien (paraphrase de concert), 1843–44?, "piano,  arr.", , pf
marche funèbre, 1827, "piano,  arr.", , pf
andante maestoso,  ?, "piano,  arr.", , pf
poco adagio, 1847?, "piano,  arr.", , pf
die zauberflöte, 1843?, "piano,  arr.", , pf
preussischer armeemarsch, 1866?, "piano,  arr.", , pf
introduction et variations sur une marche du siège de corinthe, 1830?, "piano,  arr.", , pf
fantaisie sur des thèmes de maometto et mose (maometto-fantasie), 1839-41, "piano,  arr.", , pf
gelb rollt, 1881, "piano,  arr.", , pf
alfonso und estrella, 1850–51, "piano,  arr.", , pf
seconda mazurka variata, 1880, "piano,  arr.", , pf
"for piano,  four hands", , , , 
sonata, 1825, "piano,  4 hands", , pf4h
a magyarok istene (ungarns gott), 1881, "piano,  4 hands", , pf4h
grosse fantasie über god save the queen und rule britannia (fantasie uber englische themen), 1841, "piano,  4 hands", , pf4h
for two pianos, , , , , 

mosonyis grabgeleit, 1870, "piano,  2 pianos", , 2pf
le triomphe funèbre du tasse, 1866–69, "piano,  2 pianos", , 2pf
for organ, , , , , 

die orgel, 1850–59?, organ, , org, symphonic poem after johann gottfried herder; lost

adagio, 1866–67?, organ, d? major, org, renumbered as s.672d/2

cantico del sol di francesco d'assisi, 1881, "organ,  arr.", , org
marche funèbre, 1860–69?, "organ,  arr.", , vc pf org
songs with piano, , , , , 

air de chateaubriand, 1858, "vocal,  song", , v (pf?)
strophes de herlossohn, 1858, "vocal,  song", , v pf
kränze pour chant, 1858, "vocal,  song", , v pf
die glöckchen, 1857, "vocal,  song", , v pf
l'aube naît, 1842, "vocal,  song", , v pf
der papsthymnus, 1865?, "vocal,  song", , v pf
other vocal works, , , , , 

excelsior! (preludio zu dem glocken des strassburger münsters), 1874, vocal, , v org, arr. of prelude from s.6; liszt's authorship doubtful

recitations with pianoforte, , , , , 

der ewige jude, 1881, "vocal,  recitation", , nar pf orch
